REGION,FUEL,YEAR,VALUE
GLOBAL,ELCDEUXX02,2031,3076.65
GLOBAL,ELCESPXX02,2031,1920.14
GLOBAL,ELCFRAXX02,2031,3098.94
GLOBAL,ELCITAXX02,2031,1915.09
GLOBAL,ELCLUXXX02,2031,38.96
GLOBAL,ELCNLDXX02,2031,809.94
GLOBAL,ELCPRTXX02,2031,283.0
GLOBAL,ELCAUTXX02,2032,304.82
GLOBAL,ELCBELXX02,2032,619.9
GLOBAL,ELCCHEXX02,2032,349.04
GLOBAL,ELCDEUXX02,2032,3103.42
GLOBAL,ELCESPXX02,2032,1939.35
GLOBAL,ELCFRAXX02,2032,3133.91
GLOBAL,ELCITAXX02,2032,1936.63
GLOBAL,ELCLUXXX02,2032,39.64
GLOBAL,ELCNLDXX02,2032,818.34
GLOBAL,ELCPRTXX02,2032,288.08
GLOBAL,ELCAUTXX02,2033,309.04
GLOBAL,ELCBELXX02,2033,625.06
GLOBAL,ELCCHEXX02,2033,353.83
GLOBAL,ELCDEUXX02,2033,3130.19
GLOBAL,ELCESPXX02,2033,1958.55
GLOBAL,ELCFRAXX02,2033,3168.89
GLOBAL,ELCITAXX02,2033,1958.18
GLOBAL,ELCLUXXX02,2033,40.31
GLOBAL,ELCNLDXX02,2033,826.74
GLOBAL,ELCPRTXX02,2033,293.17
GLOBAL,ELCAUTXX02,2034,313.25
GLOBAL,ELCBELXX02,2034,630.21
GLOBAL,ELCCHEXX02,2034,358.62
GLOBAL,ELCDEUXX02,2034,3156.96
GLOBAL,ELCESPXX02,2034,1977.76
GLOBAL,ELCFRAXX02,2034,3203.86
GLOBAL,ELCITAXX02,2034,1979.72
GLOBAL,ELCLUXXX02,2034,40.98
GLOBAL,ELCNLDXX02,2034,835.15
GLOBAL,ELCPRTXX02,2034,298.26
GLOBAL,ELCAUTXX02,2035,317.47
GLOBAL,ELCBELXX02,2035,635.37
GLOBAL,ELCCHEXX02,2035,363.41
GLOBAL,ELCDEUXX02,2035,3183.72
GLOBAL,ELCESPXX02,2035,1996.96
GLOBAL,ELCFRAXX02,2035,3238.83
GLOBAL,ELCITAXX02,2035,2001.26
GLOBAL,ELCLUXXX02,2035,41.66
GLOBAL,ELCNLDXX02,2035,843.55
GLOBAL,ELCPRTXX02,2035,303.34
GLOBAL,ELCAUTXX02,2036,321.78
GLOBAL,ELCBELXX02,2036,640.53
GLOBAL,ELCCHEXX02,2036,368.37
GLOBAL,ELCDEUXX02,2036,3211.55
GLOBAL,ELCESPXX02,2036,2017.15
GLOBAL,ELCFRAXX02,2036,3273.9
GLOBAL,ELCITAXX02,2036,2022.21
GLOBAL,ELCLUXXX02,2036,42.33
GLOBAL,ELCNLDXX02,2036,851.97
GLOBAL,ELCPRTXX02,2036,308.18
GLOBAL,ELCAUTXX02,2037,326.1
GLOBAL,ELCBELXX02,2037,645.7
GLOBAL,ELCCHEXX02,2037,373.34
GLOBAL,ELCDEUXX02,2037,3239.37
GLOBAL,ELCESPXX02,2037,2037.33
GLOBAL,ELCFRAXX02,2037,3308.96
GLOBAL,ELCITAXX02,2037,2043.17
GLOBAL,ELCLUXXX02,2037,43.0
GLOBAL,ELCNLDXX02,2037,860.39
GLOBAL,ELCPRTXX02,2037,313.01
GLOBAL,ELCAUTXX02,2038,330.41
GLOBAL,ELCBELXX02,2038,650.86
GLOBAL,ELCCHEXX02,2038,378.3
GLOBAL,ELCDEUXX02,2038,3267.2
GLOBAL,ELCESPXX02,2038,2057.52
GLOBAL,ELCFRAXX02,2038,3344.03
GLOBAL,ELCITAXX02,2038,2064.12
GLOBAL,ELCLUXXX02,2038,43.66
GLOBAL,ELCNLDXX02,2038,868.81
GLOBAL,ELCPRTXX02,2038,317.85
GLOBAL,ELCAUTXX02,2039,334.73
GLOBAL,ELCBELXX02,2039,656.03
GLOBAL,ELCCHEXX02,2039,383.26
GLOBAL,ELCDEUXX02,2039,3295.03
GLOBAL,ELCESPXX02,2039,2077.7
GLOBAL,ELCFRAXX02,2039,3379.09
GLOBAL,ELCITAXX02,2039,2085.08
GLOBAL,ELCLUXXX02,2039,44.33
GLOBAL,ELCNLDXX02,2039,877.23
GLOBAL,ELCPRTXX02,2039,322.69
GLOBAL,ELCAUTXX02,2040,339.05
GLOBAL,ELCBELXX02,2040,661.2
GLOBAL,ELCCHEXX02,2040,388.23
GLOBAL,ELCDEUXX02,2040,3322.85
GLOBAL,ELCESPXX02,2040,2097.89
GLOBAL,ELCFRAXX02,2040,3414.16
